post_id,post_post_url,post_creation_time,period_key,source_type,page_name,page_profile_url,brand,attribution_confidence,reactions,comments,shares,EP,ADV,SentimentProxy,comments_export_coverage,unique_comment_authors,comment_replies_sum,Depth,depth_available,median_reply_time_minutes,ServiceScore,BES_raw
7979,https://www.facebook.com/BRACBANK/posts/pfbid02jeeNdLP1j9HNX8EmfMqorUAHXE49fWWA6btwmhMqpBfLz2hEMfqep57RNLpTN3E1l,2025-12-15T14:00:11+00:00,2025-W51,owned,BRAC Bank PLC,https://www.facebook.com/BRACBANK,BRAC Bank PLC,post_tag,2597,147,277,3722,277,0.25067385444743934,0,0,0,0,false,,0,2.4466028328756386
3763,https://www.facebook.com/reel/759915497102056/,2025-11-10T04:13:19+00:00,2025-W46,owned,Prime Bank,https://www.facebook.com/primebankofficial,Prime Bank,post_tag,0,7,12,50,12,0,0,0,0,0,false,,0,1.1027637164009563
3749,https://www.facebook.com/primebankofficial/posts/pfbid02ep5kTjubPTL5L5ZP5P1CtWrqnBoSkAuJTRfoMoY3fNL3ZoKswXeUpgQKoCCjCvmKl,2025-10-01T06:11:00+00:00,2025-W40,owned,Prime Bank,https://www.facebook.com/primebankofficial,Prime Bank,post_tag,58,0,7,79,7,0.05172413793103448,0,0,0,0,false,,0,1.0912957518129114
3792,https://www.facebook.com/primebankofficial/posts/pfbid02dVxr5iVn9qe7BtX86FrDFHhjuRsPRz1Ri7vbzfsw494Sqyojzfa2zawZ62UDajWHl,2025-10-27T07:00:08+00:00,2025-W44,owned,Prime Bank,https://www.facebook.com/primebankofficial,Prime Bank,post_tag,126,8,6,160,6,0.10317460317460317,0,0,0,0,false,,0,1.1875037956698433
7820,https://www.facebook.com/groups/bcub.bd/permalink/3773785756258236/,2025-12-15T15:24:31+00:00,2025-W51,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Mercantile Bank,post_tag_list,1,0,0,1,0,0,0,0,0,0,false,,0,0.1039720770839918
7820,https://www.facebook.com/groups/bcub.bd/permalink/3773785756258236/,2025-12-15T15:24:31+00:00,2025-W51,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Trust Bank,post_tag_list,1,0,0,1,0,0,0,0,0,0,false,,0,0.1039720770839918
7909,https://www.facebook.com/BRACBANK/posts/pfbid0Zzj5tiPmFF1b5JsmrHRaQVWPuN8YHgqi8Mfhg7JGzvWs2F2mZ4LghxXBW6H6VefFl,2025-11-20T10:00:00+00:00,2025-W47,owned,BRAC Bank PLC,https://www.facebook.com/BRACBANK,BRAC Bank PLC,post_tag,122,17,3,165,3,0.12295081967213115,0,0,0,0,false,,0,1.0870898273627054
7913,https://www.facebook.com/BRACBANK/posts/pfbid0xEAoENugfhG2vp5PqTTjVdc2QNc9kk8Vmfx1dgxan39RJTfMdqkWRTTff7Y34KBrl,2025-11-19T13:00:36+00:00,2025-W47,owned,BRAC Bank PLC,https://www.facebook.com/BRACBANK,BRAC Bank PLC,post_tag,128,8,1,147,1,0.125,0,0,0,0,false,,0,0.9319612771766063
7879,https://www.facebook.com/BRACBANK/posts/pfbid0CtGATAfYXVZdz1oS2gtqhPDcfwgkvfKPpQzP5PaMcxt5uHLfuFwtY4CFNK1jhXe3l,2025-10-27T12:01:14+00:00,2025-W44,owned,BRAC Bank PLC,https://www.facebook.com/BRACBANK,BRAC Bank PLC,post_tag,2532,303,16,3186,16,0.05766192733017378,0,0,0,0,false,,0,1.7968496405394045
7650,https://www.facebook.com/groups/bcub.bd/permalink/3781232345513577/,2025-12-23T19:43:57+00:00,2025-W52,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,BRAC Bank PLC,comment_tag,13,28,0,69,1,-0.07692307692307693,1,15,32,6.269096283706261,true,,0,1.6893450880522551
